dish,file,commons_title,license,author,source_page
Aalu Matar,aalu-matar.webp,File:Aloo Matar.JPG,CC BY-SA 4.0,Zeel Patel,https://commons.wikimedia.org/wiki/File:Aloo_Matar.JPG
Aalu Paalak,aalu-paalak.webp,File:Aloo Palak potato.jpg,CC BY-SA 4.0,CNEcija12345,https://commons.wikimedia.org/wiki/File:Aloo_Palak_potato.jpg
Bhel Puri Chaat,bhel-puri-chaat.webp,"File:Bhel puri chat, photographed in West Bengal, India, September 24, 2024.jpg",CC0,Billjones94,"https://commons.wikimedia.org/wiki/File:Bhel_puri_chat,_photographed_in_West_Bengal,_India,_September_24,_2024.jpg"
Bhindi Masala,bhindi-masala.webp,File:Bhindi Masala.jpg,CC BY-SA 4.0,Monali.mishra,https://commons.wikimedia.org/wiki/File:Bhindi_Masala.jpg
Bottled Water,bottled-water.webp,File:Evian Bottle.jpg,CC BY-SA 4.0,James Tamim,https://commons.wikimedia.org/wiki/File:Evian_Bottle.jpg
Butter Paneer,butter-paneer.webp,File:Paneer butter masala 2.jpg,CC BY-SA 4.0,Gannu03,https://commons.wikimedia.org/wiki/File:Paneer_butter_masala_2.jpg
Buttermilk,buttermilk.webp,File:Masala Buttermilk.JPG,CC BY 3.0,Amarnujju,https://commons.wikimedia.org/wiki/File:Masala_Buttermilk.JPG
Canned Soda,canned-soda.webp,File:Solo (Australian soft drink) 1.jpg,CC0,Mx. Granger,https://commons.wikimedia.org/wiki/File:Solo_(Australian_soft_drink)_1.jpg
Chana Masala,chana-masala.webp,File:Chana Masala - Mohammed - Spice Of Life 2024-05-27.jpg,CC0,Andy Li,https://commons.wikimedia.org/wiki/File:Chana_Masala_-_Mohammed_-_Spice_Of_Life_2024-05-27.jpg
Chana Paalak,chana-paalak.webp,File:Chola Puri.jpg,CC BY-SA 4.0,manali_26,https://commons.wikimedia.org/wiki/File:Chola_Puri.jpg
Chole Bhatura,chole-bhatura.webp,File:Chole Bhature 5.jpg,CC BY-SA 4.0,Gannu03,https://commons.wikimedia.org/wiki/File:Chole_Bhature_5.jpg
Dam Ka Murgh,dam-ka-murgh.webp,File:Chicken Korma.JPG,CC0,Miansari66,https://commons.wikimedia.org/wiki/File:Chicken_Korma.JPG
Gobi Manchurian,gobi-manchurian.webp,File:Gobi manchurian.jpg,CC BY 2.5,scaredy_kat,https://commons.wikimedia.org/wiki/File:Gobi_manchurian.jpg
HBH Special Indian Tea,hbh-special-indian-tea.webp,File:Masala Chai.jpg,CC BY-SA 4.0,Ganesh Mohan T,https://commons.wikimedia.org/wiki/File:Masala_Chai.jpg
"Halwa, Poori, Chole",halwa-poori-chole.webp,File:Chole Bhature 5.jpg,CC BY-SA 4.0,Gannu03,https://commons.wikimedia.org/wiki/File:Chole_Bhature_5.jpg
Hyderabadi Veg Qorma,hyderabadi-veg-qorma.webp,File:Navratan korma picture.JPG,CC BY-SA 4.0,Nithyasrm,https://commons.wikimedia.org/wiki/File:Navratan_korma_picture.JPG
Indian Coffee,indian-coffee.webp,File:Indian filter coffee in Dabarah.jpg,CC BY-SA 3.0,,https://commons.wikimedia.org/wiki/File:Indian_filter_coffee_in_Dabarah.jpg
Lemon Tea,lemon-tea.webp,"File:Tea with lemon and a glass of water, 2012.jpg",CC BY 2.0,garycycles8,"https://commons.wikimedia.org/wiki/File:Tea_with_lemon_and_a_glass_of_water,_2012.jpg"
Mango Lassi,mango-lassi.webp,File:Mango Lassi and Butter Milk - Vel South Indian Kitchen + Bar.jpg,CC0,Andy Li,https://commons.wikimedia.org/wiki/File:Mango_Lassi_and_Butter_Milk_-_Vel_South_Indian_Kitchen_%2B_Bar.jpg
Matar Paneer,matar-paneer.webp,File:Matar-Paneer.JPG,CC BY-SA 4.0,Mdsmds0,https://commons.wikimedia.org/wiki/File:Matar-Paneer.JPG
